"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30A190)", , ,"D30A190[00200]","D30A190[00300]"
"Line(03000)", , ,"21473961"
"Line(03100)", , ,"4690007"
"Line(03200)", , ,"4902035"
"Line(03500)", , ,"37012"
"Line(04300)", , ,"1054475"
"Line(05000)", , ,"11340815"
"Line(05100)", , ,"2549463"
"Line(05200)", , ,"4868653"
"Line(05300)", , ,"4946597"
"Line(05400)", , ,"2501992"
"Line(05401)", , ,"271013"
"Line(05402)", , ,"3459"
"Line(05403)", , ,"46146"
"Line(05410)", , ,"80531"
"Line(05500)", , ,"130326"
"Line(05700)", , ,"2522293"
"Line(05800)", , ,"1077490"
"Line(05900)", , ,"3423539"
"Line(06000)", , ,"9714916"
"Line(06300)", , ,"1421832"
"Line(06400)", , ,"3536"
"Line(06500)", , ,"5276755"
"Line(06600)", , ,"2089126"
"Line(06800)", , ,"440552"
"Line(06900)", , ,"142211"
"Line(07000)", , ,"411135"
"Line(07100)", , ,"4446556"
"Line(07200)", , ,"4387161"
"Line(07300)", , ,"14713720"
"Line(07400)", , ,"872176"
"Line(07501)", , ,"152006"
"Line(07504)", , ,"628316"
"Line(07505)", , ,"47732"
"Line(09001)", , ,"10340"
"Line(09003)", , ,"1919"
"Line(09005)", , ,"744"
"Line(09006)", , ,"3320"
"Line(09007)", , ,"18128"
"Line(09008)", , ,"810"
"Line(09009)", , ,"976"
"Line(09010)", , ,"1188"
"Line(09011)", , ,"3645"
"Line(09012)", , ,"552"
"Line(09014)", , ,"2104"
"Line(09016)", , ,"1187"
"Line(09017)", , ,"120"
"Line(09018)", , ,"4561"
"Line(09019)", , ,"4830"
"Line(09021)", , ,"120"
"Line(09022)", , ,"648"
"Line(09023)", , ,"192"
"Line(09025)", , ,"2610"
"Line(09100)", , ,"4422981"
"Line(09200)", , ,"64134"
