"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30A050)", , ,"D30A050[00200]","D30A050[00300]"
"Line(03000)", , ,"122052"
"Line(03100)", , ,"55997"
"Line(03200)", , ,"18260"
"Line(05400)", , ,"3010"
"Line(05401)", , ,"1048"
"Line(05700)", , ,"21637"
"Line(05800)", , ,"9938"
"Line(05900)", , ,"1262"
"Line(06000)", , ,"57658"
"Line(06300)", , ,"1719"
"Line(06500)", , ,"3052"
"Line(06600)", , ,"11218"
"Line(06800)", , ,"2313"
"Line(06900)", , ,"762"
"Line(07000)", , ,"13610"
"Line(07100)", , ,"790"
"Line(07300)", , ,"34176"
"Line(07505)", , ,"166"
"Line(09100)", , ,"67643"
"Line(09200)", , ,"63"
