"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30B050)", , ,"D30B050[00200]","D30B050[00300]"
"Line(04000)", , ,"395444"
"Line(05200)", , ,"311"
"Line(05400)", , ,"754"
"Line(05401)", , ,"409"
"Line(05700)", , ,"1642"
"Line(05800)", , ,"1336"
"Line(06000)", , ,"30733"
"Line(06300)", , ,"2070"
"Line(06500)", , ,"129"
"Line(06600)", , ,"4944"
"Line(07100)", , ,"122"
"Line(07300)", , ,"33680"
"Line(09100)", , ,"13674"
