"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D4H0000)", ,"D4H0000[00100]","D4H0000[00200]","D4H0000[00300]"
"Line(00100)", ,"315","757"
"Line(00200)", , ,"1353"
"Line(00300)", , ,"1272"
"Line(00600)", , ,"1647"
"Line(00601)", , ,"1052"
"Line(00700)", ,"315"
"Line(00800)", ,"0","21840","3029"
"Line(00810)", ,"3"
"Line(00900)", ,"0","2708","133"
"Line(01000)", ,"0"
"Line(01100)", ,"0","19302","1263"
"Line(01200)", ,"0","16778","4254"
"Line(01201)", ,"0","12366","4786"
"Line(01202)", ,"0","548","171"
"Line(01203)", ,"0","5978","1283"
"Line(01210)", ,"0","531","167"
"Line(01300)", ,"0"
"Line(01500)", ,"0","104880","5961"
"Line(01600)", ,"0","4232","341"
"Line(01700)", ,"0","1236694","113554"
"Line(01800)", ,"0","401354","62677"
"Line(02100)", ,"1","42884","21594"
"Line(02200)", ,"0","12321","2542"
"Line(02300)", ,"0","9658","1795"
"Line(02400)", ,"0"
"Line(02600)", ,"0"
"Line(02700)", ,"0","9688","4256"
"Line(02800)", ,"0"
"Line(02900)", ,"1","138704","80539"
"Line(03000)", ,"0","81689","31079"
"Line(03100)", ,"0","43952","12516"
"Line(03200)", ,"0","2029","519"
"Line(03301)", ,"0"
"Line(03303)", ,"0"
"Line(03304)", ,"0","20778","2938"
"Line(03305)", ,"2"
"Line(03306)", ,"0"
"Line(03400)", ,"0"
"Line(03701)", ,"0","191","87"
"Line(03702)", ,"1"
"Line(03703)", ,"1","1408","941"
"Line(03704)", ,"0"
"Line(03705)", ,"1"
"Line(03706)", ,"1"
"Line(03707)", ,"1"
"Line(03708)", ,"1"
"Line(03709)", ,"1"
"Line(03710)", ,"0"
"Line(03711)", ,"0"
"Line(03712)", ,"1"
"Line(03713)", ,"0"
"Line(03714)", ,"1","1541","1298"
"Line(03715)", ,"0"
"Line(03716)", ,"1"
"Line(03717)", ,"1"
"Line(03718)", ,"1"
"Line(03719)", ,"1"
"Line(03720)", ,"11"
"Line(03721)", ,"2"
"Line(03722)", ,"1"
"Line(03723)", ,"1"
"Line(03725)", ,"1"
"Line(03800)", ,"0"
"Line(03900)", ,"1","13986","8088"
"Line(04100)", , ,"2206040","365811"
"Line(05101)", ,"191"
"Line(05103)", ,"1408"
"Line(05114)", ,"1541"
"Line(05300)", ,"13986"
"Line(05500)", ,"17126"
"Line(05600)", ,"365811", ,"2206355"
"Line(05900)", ,"4305134", ,"3600933"
"Line(06100)", ,"4670945", ,"5807288"
"Line(06200)", , ,"30"
"Line(06300)", , ,"10"
"Line(06400)", , ,"0"
"Line(06500)", ,"1556980", ,"1935761"
"Line(06600)", ,"59618"
"Line(06700)", ,"1497362", ,"1935761"
"Line(06900)", ,"1497362", ,"1935761"
"Line(07000)", , ,"1"
"Line(07300)", , ,"29"
"Line(07400)", , ,"30"
"Line(07500)", , ,"29"
"Line(07700)", , ,"1","59618"
