"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30A180)", ,"D30A180[00100]","D30A180[00200]","D30A180[00300]"
"Line(03000)", , ,"63047236"
"Line(03100)", , ,"19643938"
"Line(03200)", , ,"11291220"
"Line(03500)", , ,"17204"
"Line(05000)", ,"0","59177431","8299990"
"Line(05010)", ,"3","816","2099"
"Line(05100)", ,"0","8314145","407543"
"Line(05200)", ,"0","227044","98931"
"Line(05300)", ,"0","11859253","862381"
"Line(05400)", ,"0","6878462","1878157"
"Line(05401)", ,"0","1140489","441426"
"Line(05402)", ,"0","3069","957"
"Line(05403)", ,"0","403355","86555"
"Line(05410)", ,"0","333168","104931"
"Line(05500)", ,"0","550430","64440"
"Line(05700)", ,"0","8881684","504782"
"Line(05800)", ,"0","3004172","242241"
"Line(05900)", ,"0","17887633","1642460"
"Line(06000)", ,"0","33229359","5256519"
"Line(06300)", ,"1","5301043","2669298"
"Line(06400)", ,"0","371218","76591"
"Line(06500)", ,"0","17615624","3274533"
"Line(06600)", ,"0","6499987","1416250"
"Line(06800)", ,"0","1093553","140515"
"Line(06900)", ,"0","509902","224019"
"Line(07000)", ,"0","837401","21793"
"Line(07100)", ,"1","19033026","11051603"
"Line(07200)", ,"0","22438123","8536808"
"Line(07300)", ,"0","50200615","14295930"
"Line(07400)", ,"0","5459018","1396062"
"Line(07501)", ,"0","503888","65677"
"Line(07503)", ,"0","14082","1899"
"Line(07504)", ,"0","3019157","426978"
"Line(07505)", ,"2","150424","240784"
"Line(07506)", ,"0","3377","591"
"Line(07600)", ,"0","3860","657"
"Line(09001)", ,"0"
"Line(09002)", ,"1","12589","15624"
"Line(09003)", ,"1","38992","26070"
"Line(09004)", ,"0","3119","949"
"Line(09005)", ,"1","4550","6179"
"Line(09006)", ,"1","7512","3887"
"Line(09007)", ,"1","4125","3633"
"Line(09008)", ,"1","3807","2095"
"Line(09009)", ,"1","10503","5403"
"Line(09010)", ,"0","4932","2068"
"Line(09011)", ,"0"
"Line(09012)", ,"1","656","348"
"Line(09013)", ,"0","14965","3842"
"Line(09014)", ,"1","55413","46679"
"Line(09015)", ,"0","3212","767"
"Line(09016)", ,"1","3879","3315"
"Line(09017)", ,"1","1150","817"
"Line(09018)", ,"1","16331","20739"
"Line(09019)", ,"1","27063","22103"
"Line(09020)", ,"11"
"Line(09021)", ,"2","4281","7749"
"Line(09022)", ,"1","21758","23129"
"Line(09023)", ,"1","2352","3117"
"Line(09025)", ,"1","9603","5072"
"Line(09100)", ,"0","15240509","2376849"
"Line(09200)", ,"1","528478","305605"
"Line(20000)", , ,"300964587","66619439"
