"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30A197)","E30A197[00000]","E30A197[00100]","E30A197[00200]"
"Line(00100)", ,"36735397"
"Line(00200)", , ,"8918160"
"Line(00700)", ,"36735397","8918160"
"Line(00800)", ,"32157490"
"Line(00900)", ,"83055156","44696288"
"Line(01200)", ,"115212646","44696288"
"Line(01600)", ,"115212646","44696288"
"Line(01700)", ,"78477249","35778128"
"Line(02100)", ,"36735397","8918160"
"Line(02900)", ,"36735397","8918160"
"Line(03100)", ,"36735397","8918160"
"Line(03600)", ,"36735397","8918160"
"Line(03700)","OP REDUCTION", ,"-2986076"
"Line(03701)","HEART ADJUSTMENT","620405"
"Line(03702)","LIVER ADJUSTMENT","436297"
"Line(03703)","KIDNEY ADJUSTMENT","20409"
"Line(03704)","LUNG ADJUSTMENT","57679"
"Line(03705)","INPATIENT REDUCTION","-11566845"
"Line(03800)", ,"26303342","5932084"
"Line(04000)", ,"26303342","5932084"
"Line(04100)", ,"25168552","7082045"
