"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D4K0000)", ,"D4K0000[00100]","D4K0000[00200]","D4K0000[00300]","D4K0000[00400]"
"Line(00100)", ,"124307","757","37","27999"
"Line(00200)", , ,"1353"
"Line(00300)", , ,"1272"
"Line(00600)", , ,"1647"
"Line(00601)", , ,"1052"
"Line(00700)", ,"124307", ,"37","27999"
"Line(00800)", ,"0","1706530","236691"
"Line(00810)", ,"3"
"Line(00900)", ,"0","160024","7844"
"Line(01000)", ,"0","482","206"
"Line(01100)", ,"0","392567","25695"
"Line(01200)", ,"0","340940","86454"
"Line(01201)", ,"0","361402","139881"
"Line(01202)", ,"0","48172","15018"
"Line(01203)", ,"0","36416","7814"
"Line(01210)", ,"0","301868","95073"
"Line(01300)", ,"0"
"Line(01500)", ,"0","854663","48574"
"Line(01600)", ,"0","65676","5296"
"Line(01700)", ,"0","1389915","127623"
"Line(01800)", ,"0","1239586","193577"
"Line(02100)", ,"1","597489","300861"
"Line(02200)", ,"0","43996","9077"
"Line(02300)", ,"0","34907","6489"
"Line(02400)", ,"0","461","100"
"Line(02600)", ,"0"
"Line(02700)", ,"0","30589","13439"
"Line(02800)", ,"0"
"Line(02900)", ,"1","298300","173209"
"Line(03000)", ,"0","177501","67532"
"Line(03100)", ,"0","429726","122376"
"Line(03200)", ,"0","16898","4321"
"Line(03301)", ,"0","63602","8290"
"Line(03303)", ,"0"
"Line(03304)", ,"0","306557","43354"
"Line(03305)", ,"2","890","1425"
"Line(03306)", ,"0","11991","2097"
"Line(03400)", ,"0"
"Line(03701)", ,"0"
"Line(03702)", ,"1"
"Line(03703)", ,"1","35573","23784"
"Line(03704)", ,"0","206","63"
"Line(03705)", ,"1","137","186"
"Line(03706)", ,"1"
"Line(03707)", ,"1","956","842"
"Line(03708)", ,"1"
"Line(03709)", ,"1"
"Line(03710)", ,"0","633","265"
"Line(03711)", ,"0"
"Line(03712)", ,"1"
"Line(03713)", ,"0"
"Line(03714)", ,"1","16662","14036"
"Line(03715)", ,"0","7255","1733"
"Line(03716)", ,"1"
"Line(03717)", ,"1"
"Line(03718)", ,"1","2487","3158"
"Line(03719)", ,"1"
"Line(03720)", ,"11"
"Line(03721)", ,"2"
"Line(03722)", ,"1","434689","462086"
"Line(03723)", ,"1","1131","1499"
"Line(03725)", ,"1","2407","1271"
"Line(03800)", ,"0","7951","1201"
"Line(03900)", ,"1","5544","3206"
"Line(04100)", , ,"9426779","2255646"
"Line(04200)", , ,"37"
"Line(04800)", , ,"37"
"Line(05103)", ,"35573"
"Line(05104)", ,"206"
"Line(05105)", ,"137"
"Line(05107)", ,"956"
"Line(05110)", ,"633"
"Line(05114)", ,"16662"
"Line(05115)", ,"7255"
"Line(05118)", ,"2487"
"Line(05122)", ,"434689"
"Line(05123)", ,"1131"
"Line(05125)", ,"2407"
"Line(05200)", ,"7951"
"Line(05300)", ,"5544"
"Line(05500)", ,"515631"
"Line(05600)", ,"2283645", ,"9551086"
"Line(05900)", ,"8616368", ,"11672401"
"Line(06100)", ,"10900013", ,"21223487"
"Line(06200)", , ,"147"
"Line(06300)", , ,"75"
"Line(06400)", , ,"1"
"Line(06500)", ,"5561230", ,"10828308"
"Line(06600)", ,"38838"
"Line(06700)", ,"5522392", ,"10828308"
"Line(06900)", ,"5522392", ,"10828308"
"Line(07000)", , ,"10"
"Line(07300)", ,"37","100"
"Line(07400)", ,"37","110"
"Line(07500)", ,"37","100"
"Line(07700)", , ,"10","38838"
