"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D4P0000)", ,"D4P0000[00100]","D4P0000[00200]","D4P0000[00300]"
"Line(00100)", ,"315","757"
"Line(00200)", , ,"1353"
"Line(00300)", , ,"1272"
"Line(00600)", , ,"1647"
"Line(00601)", , ,"1052"
"Line(00700)", ,"315"
"Line(00800)", ,"0","29954","4155"
"Line(00810)", ,"3"
"Line(00900)", ,"0","1442","71"
"Line(01000)", ,"0"
"Line(01100)", ,"0","33349","2183"
"Line(01200)", ,"0","13817","3504"
"Line(01201)", ,"0","20385","7890"
"Line(01202)", ,"0","274","85"
"Line(01203)", ,"0"
"Line(01210)", ,"0","28529","8985"
"Line(01300)", ,"0"
"Line(01500)", ,"0","105123","5975"
"Line(01600)", ,"0","4071","328"
"Line(01700)", ,"0","816905","75009"
"Line(01800)", ,"0","144944","22635"
"Line(02100)", ,"1","30889","15554"
"Line(02200)", ,"0"
"Line(02300)", ,"0","13865","2577"
"Line(02400)", ,"0"
"Line(02600)", ,"0","574","74"
"Line(02700)", ,"0","2","1"
"Line(02800)", ,"0"
"Line(02900)", ,"1","97823","56801"
"Line(03000)", ,"0","33726","12831"
"Line(03100)", ,"0","32824","9347"
"Line(03200)", ,"0"
"Line(03301)", ,"0"
"Line(03303)", ,"0"
"Line(03304)", ,"0","56381","7974"
"Line(03305)", ,"2"
"Line(03306)", ,"0"
"Line(03400)", ,"0"
"Line(03701)", ,"0"
"Line(03702)", ,"1"
"Line(03703)", ,"1"
"Line(03704)", ,"0","292","89"
"Line(03705)", ,"1"
"Line(03706)", ,"1"
"Line(03707)", ,"1"
"Line(03708)", ,"1"
"Line(03709)", ,"1"
"Line(03710)", ,"0"
"Line(03711)", ,"0"
"Line(03712)", ,"1"
"Line(03713)", ,"0"
"Line(03714)", ,"1"
"Line(03715)", ,"0"
"Line(03716)", ,"1","1197","1023"
"Line(03717)", ,"1"
"Line(03718)", ,"1"
"Line(03719)", ,"1"
"Line(03720)", ,"11"
"Line(03721)", ,"2","26433","47848"
"Line(03722)", ,"1","1232","1310"
"Line(03723)", ,"1"
"Line(03725)", ,"1"
"Line(03800)", ,"0"
"Line(03900)", ,"1","189","109"
"Line(04100)", , ,"1494220","286358"
"Line(05104)", ,"292"
"Line(05116)", ,"1197"
"Line(05121)", ,"26433"
"Line(05122)", ,"1232"
"Line(05300)", ,"189"
"Line(05500)", ,"29343"
"Line(05600)", ,"286358", ,"1494535"
"Line(05900)", ,"2081620", ,"1477112"
"Line(06100)", ,"2367978", ,"2971647"
"Line(06200)", , ,"39"
"Line(06300)", , ,"10"
"Line(06400)", , ,"0"
"Line(06500)", ,"607173", ,"761960"
"Line(06600)", ,"3548"
"Line(06700)", ,"603625", ,"761960"
"Line(06900)", ,"603625", ,"761960"
"Line(07000)", , ,"1"
"Line(07300)", , ,"38"
"Line(07400)", , ,"39"
"Line(07500)", , ,"38"
"Line(07700)", , ,"1","3548"
