"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30C180)", ,"D30C180[00100]","D30C180[00200]","D30C180[00300]"
"Line(04100)", , ,"1544960"
"Line(05000)", ,"0","92","13"
"Line(05010)", ,"3"
"Line(05100)", ,"0"
"Line(05200)", ,"0"
"Line(05300)", ,"0","3127","227"
"Line(05400)", ,"0","9046","2470"
"Line(05401)", ,"0","1362","527"
"Line(05402)", ,"0"
"Line(05403)", ,"0"
"Line(05410)", ,"0","571","180"
"Line(05500)", ,"0","17047","1996"
"Line(05700)", ,"0","9813","558"
"Line(05800)", ,"0","5930","478"
"Line(05900)", ,"0"
"Line(06000)", ,"0","87981","13918"
"Line(06300)", ,"1","782","394"
"Line(06400)", ,"0"
"Line(06500)", ,"0","41753","7761"
"Line(06600)", ,"0","1790697","390166"
"Line(06800)", ,"0","284555","36564"
"Line(06900)", ,"0","92","40"
"Line(07000)", ,"0"
"Line(07100)", ,"1","21867","12697"
"Line(07200)", ,"0"
"Line(07300)", ,"0","339895","96794"
"Line(07400)", ,"0"
"Line(07501)", ,"0"
"Line(07503)", ,"0"
"Line(07504)", ,"0"
"Line(07505)", ,"2","2750","4402"
"Line(07506)", ,"0"
"Line(07600)", ,"0"
"Line(09001)", ,"0"
"Line(09002)", ,"1"
"Line(09003)", ,"1"
"Line(09004)", ,"0","115","35"
"Line(09005)", ,"1"
"Line(09006)", ,"1","115","60"
"Line(09007)", ,"1"
"Line(09008)", ,"1"
"Line(09009)", ,"1","558","287"
"Line(09010)", ,"0"
"Line(09011)", ,"0"
"Line(09012)", ,"1"
"Line(09013)", ,"0","115","30"
"Line(09014)", ,"1"
"Line(09015)", ,"0"
"Line(09016)", ,"1"
"Line(09017)", ,"1"
"Line(09018)", ,"1","391","497"
"Line(09019)", ,"1","150","123"
"Line(09020)", ,"11"
"Line(09021)", ,"2"
"Line(09022)", ,"1"
"Line(09023)", ,"1"
"Line(09025)", ,"1","299","158"
"Line(09100)", ,"0"
"Line(09200)", ,"1"
"Line(20000)", , ,"2619103","570375"
