"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D10B181)", ,"D10B181[00100]","D10B181[00200]","D10B181[00300]"
"Line(00100)", ,"3842"
"Line(00200)", ,"3842"
"Line(00400)", ,"3842"
"Line(00900)", ,"764"
"Line(02100)", ,"2248931"
"Line(02700)", ,"2248931"
"Line(03700)", ,"2248931"
"Line(03800)", ,"585"
"Line(03900)", ,"447207"
"Line(04100)", ,"447207"
"Line(04800)", ,"106604"
"Line(04900)", ,"553811"
"Line(05000)", ,"22156"
"Line(05100)", ,"5064"
"Line(05200)", ,"27220"
"Line(05300)", ,"526591"
"Line(09000)", ,"111423","2248931","0"
"Line(09100)", , ,"2248931"
"Line(09200)", , ,"2248931"
