"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (E30A197)","E30A197[00000]","E30A197[00100]","E30A197[00200]"
"Line(00100)", ,"122898691"
"Line(00200)", , ,"19909403"
"Line(00300)", ,"1351788"
"Line(00500)", ,"287286"
"Line(00600)", , ,"49485"
"Line(00700)", ,"123963193","19859918"
"Line(00800)", ,"151695052"
"Line(00900)", ,"210405185","56343726"
"Line(01000)", ,"1351788"
"Line(01200)", ,"363452025","56343726"
"Line(01600)", ,"363452025","56343726"
"Line(01700)", ,"239201546","36434323"
"Line(01900)", ,"179489"
"Line(02100)", ,"124250479","19909403"
"Line(02900)", ,"124250479","19909403"
"Line(03100)", ,"124142682","19859918"
"Line(03600)", ,"124142682","19859918"
"Line(03700)","ADJ NON COST BASED DRG AFTER 9/1/13","3913538"
"Line(03701)","ADJ I&R IN UNAPPROVED PROGRAMS","-179489"
"Line(03800)", ,"127876731","19859918"
"Line(04000)", ,"127876731","19859918"
"Line(04100)", ,"133746051","19975309"
