"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (S500000)", ,"S500000[00100]","S500000[00200]","S500000[00300]","S500000[00400]","S500000[00500]","S500000[00600]"
"Line(00100)", ,"33", , , ,"1","15"
"Line(00200)", ,"3", , ,"1","6","7"
"Line(00300)", ,"5", ,"4","5"
"Line(00500)", ,"313"
"Line(00600)", ,"14"
"Line(00700)", ,"2"
"Line(00800)", ,"0"
"Line(01001)", ,"N"
"Line(01002)", ,"N"
"Line(01003)", ,"2","3"
"Line(01100)", ,"32"
"Line(01200)", ,"17"
"Line(02100)", ,"X"
"Line(02200)", ,"EPOETIN", ,"96937", ,"724300"
