"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G200000)","G200000[00000]","G200000[00100]","G200000[00200]","G200000[00300]"
"Line(00100)", ,"336317322", ,"336317322"
"Line(01000)", ,"336317322", ,"336317322"
"Line(01101)", ,"110183800", ,"110183800"
"Line(01102)", ,"197801291", ,"197801291"
"Line(01103)", ,"48458978", ,"48458978"
"Line(01600)", ,"356444069", ,"356444069"
"Line(01700)", ,"692761391", ,"692761391"
"Line(01800)", ,"924581005","789012450","1713593455"
"Line(01900)", ,"34701727","291668096","326369823"
"Line(02300)", ,"358911","13166964","13525875"
"Line(02700)","OTHER PATIENT REVENUES (ORGAN ACQUIS","10517950", ,"10517950"
"Line(02701)","RESEARCH LINES 191 THROUGH 191.03","13649","945646","959295"
"Line(02702)","PER NHIC AUDIT MANAGER DURING 2002","718945","120149","839094"
"Line(02703)","RECLASS REMAINING OUTPATIENT ROTING","2796516","-2796516"
"Line(02704)","RELATES TO NON-ALLOWABLE DME  PATIE"
"Line(02705)","OFFSET NON-ALLOWABLE EPOGEN/ARANESP"
"Line(02706)","MEDICAID AND INDIGENT DRUG PROGRAM", ,"-3150436","-3150436"
"Line(02707)","COMMUNITY CLINICS","3315","2095138","2098453"
"Line(02800)", ,"1666453409","1091061491","2147483647"
"Line(02900)", , ,"1343635640"
"Line(03000)","CLEARING ACCOUNT HOSPL - ACCT 9999","18292"
"Line(03600)", , ,"18292"
"Line(03700)","PURCHASE DISCOUNT TAKEN - ACCT 9110","62257"
"Line(03800)","PURCHASE DISCOUNT LOST - ACCT 9111","-5670"
"Line(04200)", , ,"56587"
