"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G300000)","G300000[00000]","G300000[00100]"
"Line(00100)", ,"2147483647"
"Line(00200)", ,"1527828165"
"Line(00300)", ,"1229686735"
"Line(00400)", ,"1343597345"
"Line(00500)", ,"-113910610"
"Line(00600)", ,"31902678"
"Line(00700)", ,"1399392"
"Line(01200)", ,"8364761"
"Line(01700)", ,"1413511"
"Line(02000)", ,"349281"
"Line(02200)", ,"207300"
"Line(02400)","DSH REVENUE","16968851"
"Line(02401)","GRANTS","4780231"
"Line(02402)","INDIRECT EXPENSE REIMBURSEMENT","6329880"
"Line(02403)","VENDED SERVICES REVENUE","12768810"
"Line(02404)","NON PATIENT OPERATING INCOME","26397303"
"Line(02405)","CHGME FUNDS","8383005"
"Line(02406)","FOOD COURT REVENUE","3036195"
"Line(02407)","CLEAN CLAIMS","912611"
"Line(02408)","OTHER GOVERNMENT FUNDING","59916589"
"Line(02409)","HEALTH CENTER FEE","368357"
"Line(02410)","CONFERENCE REGISTRATION FEES","126729"
"Line(02411)","MISCELLANEOUS OTHER INCOME","914943"
"Line(02412)","OTHER RESEARCH REVENUE","1629200"
"Line(02413)","EQUIPMENT RENTAL","224781"
"Line(02500)", ,"186394408"
"Line(02600)", ,"72483798"
"Line(02700)","MISCELLANEOUS OTHER EXPENSE","-216972"
"Line(02701)","CONTRIBUTIONS TO OTHERS","7981736"
"Line(02702)","INVESTMENT EXPENSES","-14188894"
"Line(02800)", ,"-6424130"
