"Report (S300003)", ,"S300003[00100]","S300003[00200]","S300003[00300]","S300003[00400]","S300003[00500]","S300003[00600]","S300003[00700]","S300003[00800]","S300003[00900]","S300003[01000]","S300003[01100]"
"Line(00000)", , , , , , ,"RECLASSIFIED", ,"NET EXPENSES"
"Line(00001)", ,"COST CENTER DESCRIPTIONS", , ,"TOTAL","RECLASSIFI-","TRIAL BALANCE", ,"FOR ALLOCATION"
"Line(00002)", ,"(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)"
"Line(00003)", , ,"1","2","3","4","5","6","7"
"Line(00004)", , , , ,"INCREASES", , , ,"DECREASES", , ,"Wkst."
"Line(00005)", , ,"CODE", , , , , , , , ,"A-7"
"Line(00006)", ,"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"Line(00007)", , ,"1","2","3","4","5","6","7","8","9","10"
"Line(00008)", , , , ,"INCREASES", , , ,"DECREASES", , ,"Wkst."
"Line(00009)", , ,"CODE", , , , , , , , ,"A-7"
"Line(00010)", ,"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"Line(00011)", , ,"1","2","3","4","5","6","7","8","9","10"
"Line(00012)", , , , ,"INCREASES", , , ,"DECREASES", , ,"Wkst."
"Line(00013)", , ,"CODE", , , , , , , , ,"A-7"
"Line(00014)", ,"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"Line(00015)", , ,"1","2","3","4","5","6","7","8","9","10"
"Line(00016)", , , , ,"INCREASES", , , ,"DECREASES", , ,"Wkst."
"Line(00017)", , ,"CODE", , , , , , , , ,"A-7"
"Line(00018)", ,"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"Line(00019)", , ,"1","2","3","4","5","6","7","8","9","10"
"Line(00020)", , , , ,"INCREASES", , , ,"DECREASES", , ,"Wkst."
"Line(00021)", , ,"CODE", , , , , , , , ,"A-7"
"Line(00022)", ,"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"Line(00023)", , ,"1","2","3","4","5","6","7","8","9","10"
"Line(00024)", ,"PART I - ANALYSIS OF CHANGES IN CAPITAL ASSET BALANCES"
"Line(00025)", , , , , ,"Acquisitions", , ,"Disposals", ,"Fully"
"Line(00026)", , , , ,"Beginning", , , ,"and","Ending","Depreciated"
"Line(00027)", , ,"Description", ,"Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
"Line(00028)", , , , ,"1","2","3","4","5","6","7"
"Line(00029)", ,"PROVIDER-BASED PHYSICIANS ADJUSTMENTS", , , , ," PROVIDER CCN:", ," PERIOD:", ," WORKSHEET A-8-2"
"Line(00030)", , , , , , , , ," FROM ____________"
"Line(00031)", , , , , , ," ________________", ," TO _______________"
"Line(00032)", , , ,"Cost Center/", , , , ,"Physician/", ,"5 Percent of"
"Line(00033)", , ,"Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted"
"Line(00034)", , ,"Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit"
"Line(00035)", , ,"1","2","3","4","5","6","7","8","9"
"Line(00036)", ,"PROVIDER-BASED PHYSICIANS ADJUSTMENTS", , , , ," PROVIDER CCN:", ," PERIOD:", ," WORKSHEET A-8-2"
"Line(00037)", , , , , , , , ," FROM ____________"
"Line(00038)", , , , , , ," ________________", ," TO _______________"
"Line(00039)", , , ,"Cost Center/", , , , ,"Physician/", ,"5 Percent of"
"Line(00040)", , ,"Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted"
"Line(00041)", , ,"Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit"
"Line(00042)", , ,"1","2","3","4","5","6","7","8","9"
"Line(00043)", ,"PROVIDER-BASED PHYSICIANS ADJUSTMENTS", , , , ," PROVIDER CCN:", ," PERIOD:", ," WORKSHEET A-8-2"
"Line(00044)", , , , , , , , ," FROM ____________"
"Line(00045)", , , , , , ," ________________", ," TO _______________"
"Line(00046)", , , ,"Cost Center/", , , , ,"Physician/", ,"5 Percent of"
"Line(00047)", , ,"Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted"
"Line(00048)", , ,"Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit"
"Line(00049)", , ,"1","2","3","4","5","6","7","8","9"
"Line(00050)", ,"PROVIDER-BASED PHYSICIANS ADJUSTMENTS", , , , ," PROVIDER CCN:", ," PERIOD:", ," WORKSHEET A-8-2"
"Line(00051)", , , , , , , , ," FROM ____________"
"Line(00052)", , , , , , ," ________________", ," TO _______________"
"Line(00053)", , , ,"Cost Center/", , , , ,"Physician/", ,"5 Percent of"
"Line(00054)", , ,"Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted"
"Line(00055)", , ,"Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit"
