4090 (Cont.),,,FORM CMS-2552-10,,,,,08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPORTIONMENT OF INPATIENT ANCILLARY ,,, PROVIDER CCN: ______________,, PERIOD:,," WORKSHEET D,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE CAPITAL COSTS,,,,, FROM ____________,, PART II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, COMPONENT CCN: ____________,, TO _______________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check,,   [ ]  Title V,,   [ ]  Hospital,     [ ]  Subprovider (Other),,   [ ]  PPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
applicable,,"   [ ]  Title XVIII, Part A",,   [ ]  IPF,,,   [ ]  TEFRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boxes:,,   [ ]  Title XIX,,   [ ]  IRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Related Cost,,Ratio of Cost,,Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(from Wkst.,Total Charges,to Charges,Inpatient,Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"B, Part II,","(from Wkst. C,",(col .1 ÷,Program,(column 3 x ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,col. 26),"Part I, col. 8)",col. 2),Charges,column 4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(A),Cost Center Description,,1 ,2 ,3 ,4 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANCILLARY SERVICE COST CENTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 , Operating Room,,,,,,,50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51 , Recovery Room,,,,,,,51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 , Labor Room and Delivery Room,,,,,,,52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53 , Anesthesiology,,,,,,,53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54 , Radiology-Diagnostic,,,,,,,54 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 , Radiology-Therapeutic,,,,,,,55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56 , Radioisotope,,,,,,,56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57 , Computed Tomography (CT) Scan,,,,,,,57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
