,,,,,,RECLASSIFIED,,NET EXPENSES,
,COST CENTER DESCRIPTIONS,,,TOTAL,RECLASSIFI-,TRIAL BALANCE,,FOR ALLOCATION,
,(omit cents),SALARIES,OTHER,(col. 1 + col. 2),CATIONS,(col. 3 +- col. 4),ADJUSTMENTS,(col. 5 +- col. 6),
,,1,2,3,4,5,6,7,
,   GENERAL SERVICE COST CENTERS, , , , , , , ,
100, Capital Related Costs-Buildings and Fixtures, ,,,,,,,1
200, Capital Related Costs-Movable Equipment, ,,,,,,,2
300, Other Capital Related Costs,,,,,,,-0-,3
400, Employee Benefits,,,,,,,,4
500, Administrative and General,,,,,,,,5
600, Maintenance and Repairs,,,,,,,,6
700, Operation of Plant,,,,,,,,7
800, Laundry and Linen Service,,,,,,,,8
900, Housekeeping,,,,,,,,9
1000, Dietary,,,,,,,,10
1100, Cafeteria,,,,,,,,11
1200, Maintenance of Personnel,,,,,,,,12
1300, Nursing Administration,,,,,,,,13
1400, Central Services and Supply,,,,,,,,14
1500, Pharmacy,,,,,,,,15
1600, Medical Records & Medical Records Library,,,,,,,,16
1700, Social Service,,,,,,,,17
, Other General Service (specify),,,,,,,,18
1900, Nonphysician Anesthetists,,,,,,,,19
2000, Nursing School,,,,,,,,20
2100, Intern & Res. Service-Salary & Fringes (Approved),,,,,,,,21
2200, Intern & Res. Other Program Costs (Approved),,,,,,,,22
2300, Paramedical Ed. Program (specify) ,,,,,,,,23
,   INPATIENT ROUTINE SERVICE COST CENTERS, , , , , , , ,
3000, Adults and Pediatrics (General Routine Care),,,,,,,,30
3100, Intensive Care Unit,,,,,,,,31
3200, Coronary Care Unit,,,,,,,,32
3300, Burn Intensive Care Unit,,,,,,,,33
3400, Surgical Intensive Care Unit,,,,,,,,34
, Other Special Care (specify),,,,,,,,35
4000, Subprovider - IPF,,,,,,,,40
4100, Subprovider - IRF,,,,,,,,41
4200, Subprovider (specify),,,,,,,,42
4300, Nursery,,,,,,,,43
4400, Skilled Nursing Facility,,,,,,,,44
4500, Nursing Facility,,,,,,,,45
4600, Other Long Term Care,,,,,,,,46
