4090 (Cont.),,,,,      FORM CMS-2552-10,,,,,,,08-11,08-11,,,,,      FORM CMS-2552-10,,,,,,,4090 (Cont.),4090 (Cont.),,,,,,      FORM CMS-2552-10,,,,,,,08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLOCATION OF GENERAL SERVICE,,,,,, PROVIDER CCN: ______________,,, PERIOD:,," WORKSHEET K-5,",,ALLOCATION OF GENERAL SERVICE,,,,,, PROVIDER CCN: ______________,,, PERIOD:,," WORKSHEET K-5,",,ALLOCATION OF GENERAL SERVICE,,,,,,, PROVIDER CCN: ______________,,, PERIOD:,," WORKSHEET K-5,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTS TO HOSPICE COST CENTERS,,,,,,,,, FROM ____________,, PART I,,COSTS TO HOSPICE COST CENTERS,,,,,,,,, FROM ____________,, PART I (Cont.),,COSTS TO HOSPICE COST CENTERS,,,,,,,,,, FROM ____________,, PART I (Cont.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, HOSPICE CCN: ________________,,, TO _______________,,,,,,,,,, HOSPICE CCN: ________________,,, TO _______________,,,,,,,,,,, HOSPICE CCN: ________________,,, TO _______________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART I - ALLOCATION OF GENERAL SERVICE COSTS TO HOSPICE COST CENTERS,,,,,,,,,,,,,PART I - ALLOCATION OF GENERAL SERVICE COSTS TO HOSPICE COST CENTERS,,,,,,,,,,,,,PART I - ALLOCATION OF GENERAL SERVICE COSTS TO HOSPICE COST CENTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,,,,, , ,,,,,,,,,,, , ,,,INTERN &,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,From,HOSPICE,CAPITAL,,,,,,,,,,,,,,,,,,,,,,,,NON-,,,,PARA-,,RESIDENT,,ALLOCATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOSPICE COST CENTER,,Wkst. K-4,TRIAL,RELATED COSTS,,,,ADMINIS-,MAIN-,,,,HOSPICE COST CENTER,LAUNDRY,,,,MAIN-,NURSING,CENTRAL,,MEDICAL,,,,HOSPICE COST CENTER,OTHER,PHYSICIAN,,INTERNS & RESIDENTS,,MEDICAL,,COST & POST,,HOSPICE,HOSPICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(omit cents),,"Part I,",BALANCE,BLDGS. &,MOVABLE,EMPLOYEE,SUBTOTAL,TRATIVE &,TENANCE &,OPERATION,,,(omit cents),& LINEN,HOUSE-, ,,TENANCE OF,ADMINIS-,SERVICES &,,RECORDS &,SOCIAL,,,(omit cents),GENERAL,ANES-,NURSING,SALARY &,PROGRAM,EDUCATION,SUBTOTAL,STEPDOWN,SUBTOTAL,A&G (see,COSTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"col. 7,",(1),FIXTURES,EQUIPMENT,BENEFITS,(cols. 0-3),GENERAL,REPAIRS,OF PLANT,,,,SERVICE,KEEPING,DIETARY,CAFETERIA,PERSONNEL,TRATION,SUPPLY,PHARMACY,LIBRARY,SERVICE,,,,SERVICE,THETISTS,SCHOOL,FRINGES,COSTS,(SPECIFY),(cols. 3a-22),ADJUST.,(cols. 23 ± 24),Part II),(cols. 25 ± 26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,line,0,1 ,2 ,4 ,4A,5 ,6 ,7 ,,,,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,,,,`8,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 , Administrative and General,,6 ,,,,,,,,,1 ,1 , Administrative and General,,,,,,,,,,,1 ,1 , Administrative and General,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 , Inpatient - General Care,,7 ,,,,,,,,,2 ,2 , Inpatient - General Care,,,,,,,,,,,2 ,2 , Inpatient - General Care,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 , Inpatient - Respite Care,,8 ,,,,,,,,,3 ,3 , Inpatient - Respite Care,,,,,,,,,,,3 ,3 , Inpatient - Respite Care,,,,,,,,,,,,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 , Physician Services,,9 ,,,,,,,,,4 ,4 , Physician Services,,,,,,,,,,,4 ,4 , Physician Services,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 , Nursing Care,,10 ,,,,,,,,,5 ,5 , Nursing Care,,,,,,,,,,,5 ,5 , Nursing Care,,,,,,,,,,,,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 , Nursing Care-Continuous Home Care,,11 ,,,,,,,,,6 ,6 , Nursing Care-Continuous Home Care,,,,,,,,,,,6 ,6 , Nursing Care-Continuous Home Care,,,,,,,,,,,,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 , Physical Therapy,,12 ,,,,,,,,,7 ,7 , Physical Therapy,,,,,,,,,,,7 ,7 , Physical Therapy,,,,,,,,,,,,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 , Occupational Therapy,,13 ,,,,,,,,,8 ,8 , Occupational Therapy,,,,,,,,,,,8 ,8 , Occupational Therapy,,,,,,,,,,,,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 , Speech/ Language Pathology,,14 ,,,,,,,,,9 ,9 , Speech/ Language Pathology,,,,,,,,,,,9 ,9 , Speech/ Language Pathology,,,,,,,,,,,,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 , Medical Social Services ,,15 ,,,,,,,,,10 ,10 , Medical Social Services ,,,,,,,,,,,10 ,10 , Medical Social Services ,,,,,,,,,,,,10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 , Spiritual Counseling,,16 ,,,,,,,,,11 ,11 , Spiritual Counseling,,,,,,,,,,,11 ,11 , Spiritual Counseling,,,,,,,,,,,,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 , Dietary Counseling,,17 ,,,,,,,,,12 ,12 , Dietary Counseling,,,,,,,,,,,12 ,12 , Dietary Counseling,,,,,,,,,,,,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 , Counseling - Other,,18 ,,,,,,,,,13 ,13 , Counseling - Other,,,,,,,,,,,13 ,13 , Counseling - Other,,,,,,,,,,,,13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 , Home Health Aide and Homemaker,,19 ,,,,,,,,,14 ,14 , Home Health Aide and Homemaker,,,,,,,,,,,14 ,14 , Home Health Aide and Homemaker,,,,,,,,,,,,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 , HH Aide & Homemaker - Cont. Home Care,,20 ,,,,,,,,,15 ,15 , HH Aide & Homemaker - Cont. Home Care,,,,,,,,,,,15 ,15 , HH Aide & Homemaker - Cont. Home Care,,,,,,,,,,,,15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 , Other,,21 ,,,,,,,,,16 ,16 , Other,,,,,,,,,,,16 ,16 , Other,,,,,,,,,,,,16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
