4090 (Cont.),,FORM CMS-2552-10,,,,,08-11,,,,,,,,,,,,,,,,,,,,,,,,,,
APPORTIONMENT OF HOSPICE SHARED SERVICES,, PROVIDER CCN: ______________,, PERIOD:,," WORKSHEET K-5,",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, FROM ____________,, PART III,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, HOSPICE CCN: ________________,, TO _______________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART III - COMPUTATION OF TOTAL HOSPICE SHARED COSTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Wkst. C,",,Hospice,Shared,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Part I,",Cost to,Charges,Ancillary ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"col. 9,",Charge,(Provider,Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COST CENTER ,,line,Ratio,Records),(cols. 1 x  2),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0 ,1 ,2 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANCILLARY SERVICE COST CENTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 , Physical Therapy,,66 ,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,
2 , Occupational Therapy,,67 ,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
3 , Speech/ Language Pathology,,68 ,,,,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
4 ," Drugs, Biological and Infusion Therapy",,73 ,,,,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,
5 , Durable Medical Equipment/Oxygen,,96 ,,,,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
6 , Labs and Diagnostics,,60 ,,,,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,
7 , Medical Supplies,,71 ,,,,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,
8 , Outpatient Services (including E/R Dept.),,93 ,,,,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,
9 , Radiation Therapy,,55 ,,,,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,
10 , Other,,76 ,,,,10 ,,,,,,,,,,,,,,,,,,,,,,,,,,
11 , Totals (sum of lines 1-10) ,,,,,,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FORM CMS-2552-10 (08/2011) (INSTRUCTIONS FOR THIS WORKSHEET ARE PUBLISHED IN CMS PUB. 15-II, SECTIONS 4062.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-644,,,,,,,Rev. 2,,,,,,,,,,,,,,,,,,,,,,,,,,
