08-11,,,,,FORM CMS-2552-10,,,,,,,,4090 (Cont.),4090 (Cont.),,,,,FORM CMS-2552-10,,,,,,,,08-11,08-11,,,,FORM CMS-2552-10,,,,,,,4090 (Cont.),,,,,,,,,,,,,,,,,,
ALLOCATION OF GENERAL SERVICE COSTS TO,,,,,, PROVIDER CCN: ______________,,, PERIOD:,," WORKSHEET J-1,",,,ALLOCATION OF GENERAL SERVICE COSTS TO,,,,,, PROVIDER CCN: ______________,,, PERIOD:,," WORKSHEET J-1,",,,ALLOCATION OF GENERAL SERVICE COSTS TO,,,, PROVIDER CCN: ______________,,, PERIOD:,," WORKSHEET J-1,",,,,,,,,,,,,,,,,,,,,
COMMUNITY MENTAL HEALTH CENTERS,,,,,,,,, FROM ____________,, PART II,,,COMMUNITY MENTAL HEALTH CENTERS,,,,,,,,, FROM ____________,, PART II (CONT.),,,COMMUNITY MENTAL HEALTH CENTERS,,,,,,, FROM ____________,, PART II (CONT.),,,,,,,,,,,,,,,,,,,,
,,,,,, COMPONENT CCN: ____________,,, TO _______________,,,,,,,,,,, COMPONENT CCN: ____________,,, TO _______________,,,,,,,,, COMPONENT CCN: ____________,,, TO _______________,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART II - ALLOCATION OF GENERAL SERVICE COSTS TO COMMUNITY MENTAL HEALTH CENTER COST CENTERS - STATISTICAL BASIS,,,,,,,,,,,,,,PART II - ALLOCATION OF GENERAL SERVICE COSTS TO COMMUNITY MENTAL HEALTH CENTER COST CENTERS - STATISTICAL BASIS,,,,,,,,,,,,,,PART II - ALLOCATION OF GENERAL SERVICE COSTS TO COMMUNITY MENTAL HEALTH CENTER COST CENTERS - STATISTICAL BASIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,CAPITAL,, ,, ,,,,,,,,,,MAIN-,,,,,,,NON-,,,,,,,PARA-,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,RELATED COST,,,,ADMINIS-,MAIN-,,LAUNDRY,,,,,,,TENANCE,NURSING,CENTRAL,,MEDICAL,,,PHYSICIAN,,,,,INTERNS & RESIDENTS,,MEDICAL,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BLDGS &,MOVABLE,EMPLOYEE,,TRATIVE &,TENANCE &,OPERATION,& LINEN,,,,HOUSE-, ,,OF,ADMINIS-,SERVICES &,,RECORDS &,SOCIAL,OTHER,ANES-,,,,NURSING,SALARY &,PROGRAM,EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,
,CMHC COST CENTER,,,,FIXTURES,EQUIPMENT,BENEFITS,,GENERAL,REPAIRS,OF PLANT,SERVICE,,,CORF COST CENTER,KEEPING,DIETARY,CAFETERIA,PERSONNEL,TRATION,SUPPLY,PHARMACY,LIBRARY,SERVICE,GENERAL,THETISTS,,,CORF COST CENTER,SCHOOL,FRINGES,COSTS,(SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,
,(omit cents),,,,(SQUARE,(SQUARE,(GROSS,RECONCIL-,(ACCUM.,(SQUARE,(SQUARE,(POUNDS OF,,,(omit cents),(HOURS OF,(MEALS,(MEALS,(NUMBER,(DIRECT,(COSTED,(COSTED,(TIME,(TIME,SERVICE,(ASSIGNED,,,(omit cents),(ASSIGNED,(ASSIGNED,(ASSIGNED,(ASSIGNED,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FEET),FEET),SALARIES),IATION,COST),FEET),FEET),LAUNDRY),,,,SERVICE),SERVED),SERVED),HOUSED),NURS. HRS)*,REQUIS.),REQUIS.),SPENT),SPENT),(SPECIFY),TIME),,,,TIME),TIME),TIME),TIME),,,,,,,,,,,,,,,,,,,,,,,,
