"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G300000)","G300000[00000]","G300000[00100]"
"Line(00100)", ,"2147483647"
"Line(00200)", ,"2147483647"
"Line(00300)", ,"1522596579"
"Line(00400)", ,"1506056869"
"Line(00500)", ,"16539710"
"Line(00600)", ,"54025886"
"Line(00700)", ,"217498403"
"Line(01000)", ,"4971791"
"Line(01200)", ,"484029"
"Line(01400)", ,"7418415"
"Line(01500)", ,"179068"
"Line(01700)", ,"2893429"
"Line(01800)", ,"176948"
"Line(01900)", ,"3129895"
"Line(02000)", ,"82970"
"Line(02300)", ,"101209"
"Line(02400)","OTHER - CONTRACT REVENUE","656009"
"Line(02401)","EDUCATION AND RESEARCH","135377"
"Line(02402)","FITNESS PROGRAM REVENUE","214556"
"Line(02403)","MISC PROGRAM REVENUE","146800"
"Line(02404)","PHYSICIAN SERVICES"
"Line(02410)","RADIOLOGY JOINT VENTURE REV","761159"
"Line(02411)","ACTIVITY & APPLICATION FEES","909321"
"Line(02412)","REFERENCE LAB REVENUE","910070"
"Line(02414)","SEMINARS & EDUC PROGRAMS","2797957"
"Line(02415)","EXTERNAL TRANSPORT REVENUE","2962527"
"Line(02416)","MISC. OTHER","4001894"
"Line(02418)","AFFILIATE SUPPORT SERVICES","3305077"
"Line(02500)", ,"307762790"
"Line(02600)", ,"324302500"
"Line(02700)","OTHER MISC EXPENSES","178"
"Line(02800)", ,"178"
