"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D10A181)", ,"D10A181[00100]","D10A181[00200]","D10A181[00300]","D10A181[00400]","D10A181[00500]"
"Line(00100)", ,"180174"
"Line(00200)", ,"180174"
"Line(00300)", ,"42446"
"Line(00400)", ,"113950"
"Line(00900)", ,"48627"
"Line(02100)", ,"155594822"
"Line(02700)", ,"155594822"
"Line(02800)", ,"216567628"
"Line(02900)", ,"67240197"
"Line(03000)", ,"149327431"
"Line(03100)", ,"1"
"Line(03200)", ,"1584"
"Line(03300)", ,"1310"
"Line(03400)", ,"274"
"Line(03500)", ,"197"
"Line(03600)", ,"8346157"
"Line(03700)", ,"147248665"
"Line(03800)", ,"864"
"Line(03900)", ,"41993305"
"Line(04100)", ,"41993305"
"Line(04300)", ,"15333930","10369","1479","4157","6147455"
"Line(04301)", ,"22140685","14624","1514"
"Line(04400)", ,"8170866","5494","1487","2590","3851926"
"Line(04401)", ,"4894672","2796","1751","1100","1925660"
"Line(04601)", ,"18716491","15423","1214","6134","7443854"
"Line(04602)", ,"13773824","9253","1489","3284","4888497"
"Line(04603)", ,"8502116","6720","1265","2640","3340128"
"Line(04604)", ,"10420461","4541","2295","49","112443"
"Line(04605)", ,"1074587","662","1623","104","168817"
"Line(04606)", ,"7665294","6476","1184","126","149140"
"Line(04607)", ,"9362079","10308","908"
"Line(04800)", ,"113021011"
"Line(04900)", ,"183042236"
"Line(05000)", ,"6989056"
"Line(05100)", ,"9207556"
"Line(05200)", ,"16196612"
"Line(05300)", ,"166845624"
"Line(08700)", ,"23778"
"Line(08800)", ,"864"
"Line(08900)", ,"20534205"
"Line(09000)", ,"12759151","155594822","0","20534205","1683846"
"Line(09100)", ,"3245771","155594822","0","20534205","428344"
"Line(09200)", ,"432901","155594822","0","20534205","57126"
