"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G200000)","G200000[00000]","G200000[00100]","G200000[00200]","G200000[00300]"
"Line(00100)", ,"442649993", ,"442649993"
"Line(00200)", ,"44347631", ,"44347631"
"Line(00300)", ,"5907555", ,"5907555"
"Line(01000)", ,"492905179", ,"492905179"
"Line(01100)", ,"54475552", ,"54475552"
"Line(01101)", ,"67642484", ,"67642484"
"Line(01200)", ,"23510338", ,"23510338"
"Line(01201)", ,"12990151", ,"12990151"
"Line(01401)", ,"45712165", ,"45712165"
"Line(01402)", ,"47545993", ,"47545993"
"Line(01403)", ,"16168348", ,"16168348"
"Line(01404)", ,"26430656", ,"26430656"
"Line(01405)", ,"1548287", ,"1548287"
"Line(01406)", ,"14823603", ,"14823603"
"Line(01407)", ,"26755690", ,"26755690"
"Line(01600)", ,"337603267", ,"337603267"
"Line(01700)", ,"830508446", ,"830508446"
"Line(01800)", ,"1647371961","1370428210","2147483647"
"Line(01900)", ,"226023296","675702544","901725840"
"Line(02300)", , ,"75769842","75769842"
"Line(02700)","OTHER PROFESSIONAL FEES","10276623","19130669","29407292"
"Line(02701)","UNLOCATED DIFFERENCE","2059894","34498254","36558148"
"Line(02800)", ,"2147483647","2147483647","2147483647"
"Line(02900)", , ,"1614319312"
"Line(03800)","INTERCO/INTERFACILITY REVENUE","102073784"
"Line(03900)","ORGAN/TISSUE REVENUE","6188659"
"Line(04200)", , ,"108262443"
