"General Instruction: ","","Enter Y for all YES responses.  Enter N for all NO responses."
"","","Enter all dates in the mm/dd/yyyy format."
"Report (S200002)", ,"S200002[00100]","S200002[00200]","S200002[00300]","S200002[00400]"
"Line(00100)", ,"N"
"Line(00200)", ,"N"
"Line(00300)", ,"N"
"Line(00400)", ,"Y","A"
"Line(00500)", ,"N"
"Line(00600)", ,"N"
"Line(00700)", ,"Y"
"Line(00800)", ,"N"
"Line(00900)", ,"Y"
"Line(01000)", ,"N"
"Line(01100)", ,"N"
"Line(01200)", ,"Y"
"Line(01300)", ,"N"
"Line(01400)", ,"N"
"Line(01500)", ,"N"
"Line(01600)", ,"N", ,"N"
"Line(01700)", ,"Y","03/25/2014","Y","03/25/2014"
"Line(01800)", ,"N", ,"N"
"Line(01900)", ,"N", ,"N"
"Line(02000)", ,"N", ,"N"
