"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G200000)","G200000[00000]","G200000[00100]","G200000[00200]","G200000[00300]"
"Line(00100)", ,"243159396", ,"243159396"
"Line(00200)", ,"35631955", ,"35631955"
"Line(00300)", ,"6961714", ,"6961714"
"Line(01000)", ,"285753065", ,"285753065"
"Line(01100)", ,"83541839", ,"83541839"
"Line(01101)", ,"21402206", ,"21402206"
"Line(01300)", ,"26927150", ,"26927150"
"Line(01500)", ,"73022510", ,"73022510"
"Line(01600)", ,"204893705", ,"204893705"
"Line(01700)", ,"490646770", ,"490646770"
"Line(01800)", ,"608746938","922669737","1531416675"
"Line(01900)", ,"47134435","390508415","437642850"
"Line(02800)", ,"1146528143","1313178152","2147483647"
"Line(02900)", , ,"1129270705"
"Line(03100)","CHG IN SFAS 158","7476072"
"Line(03200)","CHG IN ACCT METHOD","3796525"
"Line(03600)", , ,"11272597"
"Line(03900)","SHOP 601","554020"
"Line(04000)","MEDICAL CENTER PRORATE","369822"
"Line(04100)","LOSS ON DISPOSAL","287805"
"Line(04200)", , ,"1211647"
