"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G300000)","G300000[00000]","G300000[00100]"
"Line(00100)", ,"2147483647"
"Line(00200)", ,"1216203102"
"Line(00300)", ,"1243503193"
"Line(00400)", ,"1139331655"
"Line(00500)", ,"104171538"
"Line(00600)", ,"571818"
"Line(00700)", ,"2546830"
"Line(00900)", ,"-158110"
"Line(01100)", ,"2436298"
"Line(01200)", ,"1965051"
"Line(01400)", ,"3989549"
"Line(01800)", ,"56470"
"Line(02200)", ,"2884550"
"Line(02300)", ,"8483879"
"Line(02400)","OVERHEAD ON RESEARCH GRANT","654772"
"Line(02401)","APPROPRIATIONS FROM SPECIAL FUNDS -"
"Line(02402)","APPROPRIATIONS FROM SPECIAL FUNDS -"
"Line(02403)","INCOME FROM BOARD DESIGNATED FUNDS"
"Line(02404)","UNRESTRICTED INCOME FROM ENDOWMENT"
"Line(02405)","DONOR RESTRICTED INCOME FROM ENDOWM"
"Line(02406)","INCOME FROM FUNDED DEPRECIATION AND"
"Line(02407)","UNREALIZED INVESTMENT INCOME OR LOS"
"Line(02408)","HOSPITAL RESIDENCY PROGRAM INCOME","321626"
"Line(02409)","CHAPLAINCY SERVICE","26755"
"Line(02410)","OTHER OP REVENUE","389053"
"Line(02411)","NET ASSETS RELEASED","653338"
"Line(02412)","MISCELLANEOUS","2742320"
"Line(02413)","FICA REFUND","1036662"
"Line(02414)","GIFT TAX ASSESSMENT","1058349"
"Line(02415)","U OF R MED FACULTY GROUP / OTHER","-8939251"
"Line(02500)", ,"20719959"
"Line(02600)", ,"124891497"
"Line(02700)","UNRESTRICTED GIFTS & BEQUESTS"
"Line(02701)","INCOME FROM BOARD DESIGNATED FUNDS"
"Line(02702)","UNRESTRICTED INCOME FROM ENDOWMENT"
"Line(02703)","DONOR RESTRICTED INCOME FROM ENDOWM"
"Line(02704)","UNREALIZED INVESTMENT INCOME OR LOS"
"Line(02705)","INCOME FROM FUNDED DEPRECIATION AND"
"Line(02706)","THIRD PARTY PAYOR DEPRECIATION FUND"
"Line(02707)","UNDER INDENTURE AGREEMENT"
"Line(02708)","HEALTH FACILITY CASH ASSESSMENT ON"
"Line(02709)","TRANSFER FROM MEDICAL CENTER","39588233"
"Line(02710)","OTHER NON-OP GAINS/UNREALIZED GAIN","-30944733"
"Line(02800)", ,"8643500"
