"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G300000)","G300000[00000]","G300000[00100]"
"Line(00100)", ,"2147483647"
"Line(00200)", ,"2147483647"
"Line(00300)", ,"253621575"
"Line(00400)", ,"1086192463"
"Line(00500)", ,"-832570888"
"Line(00700)", ,"20059829"
"Line(02400)","OTHER REVENUE","56234380"
"Line(02401)","FACULTY PROFESSIONAL FEES"
"Line(02402)","PHYSICIAN PROFESSIONAL FEES","765888504"
"Line(02403)","FACULTY & STRATEGIC SUP CAPITATION","18611751"
"Line(02500)", ,"860794464"
"Line(02600)", ,"28223576"
"Line(02700)","OTHER EXPENSES"
"Line(02701)","ACEDEMIC SUPPORT"
