"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G200000)","G200000[00000]","G200000[00100]","G200000[00200]","G200000[00300]"
"Line(00100)", ,"175878683", ,"175878683"
"Line(01000)", ,"175878683", ,"175878683"
"Line(01100)", ,"65900627", ,"65900627"
"Line(01300)", ,"23209808", ,"23209808"
"Line(01500)", ,"34265595", ,"34265595"
"Line(01501)", ,"8711260", ,"8711260"
"Line(01503)", ,"11730821", ,"11730821"
"Line(01504)", ,"17467538", ,"17467538"
"Line(01600)", ,"161285649", ,"161285649"
"Line(01700)", ,"337164332", ,"337164332"
"Line(01800)", ,"896528906", ,"896528906"
"Line(01900)", , ,"1265866117","1265866117"
"Line(02200)", , ,"5325165","5325165"
"Line(02700)","OTHER PATIENT REVENUES", ,"2438185","2438185"
"Line(02800)", ,"1233693238","1273629467","2147483647"
"Line(02900)", , ,"1086192463"
"Line(03100)","POST RETIREMENT & PENSION"
"Line(03200)","OTHER EXPENSES"
"Line(03300)","GOODWILL"
"Line(03800)","ACEDEMIC SUPPORT"
"Line(03900)","OTHER EXPENSES"
