,,,,,,RECLASSIFIED,,NET EXPENSES,
,COST CENTER DESCRIPTIONS,,,TOTAL,RECLASSIFI-,TRIAL BALANCE,,FOR ALLOCATION,
,(omit cents),SALARIES,OTHER,(col. 1 + col. 2),CATIONS,(col. 3 +- col. 4),ADJUSTMENTS,(col. 5 +- col. 6),
,,1,2,3,4,5,6,7,
,   GENERAL SERVICE COST CENTERS, , , , , , , ,
1, Capital Related Costs-Buildings and Fixtures, ,,,,,,,1
2, Capital Related Costs-Movable Equipment, ,,,,,,,2
3, Other Capital Related Costs,,,,,,,-0-,3
4, Employee Benefits,,,,,,,,4
5, Administrative and General,,,,,,,,5
6, Maintenance and Repairs,,,,,,,,6
7, Operation of Plant,,,,,,,,7
8, Laundry and Linen Service,,,,,,,,8
9, Housekeeping,,,,,,,,9
10, Dietary,,,,,,,,10
11, Cafeteria,,,,,,,,11
12, Maintenance of Personnel,,,,,,,,12
13, Nursing Administration,,,,,,,,13
14, Central Services and Supply,,,,,,,,14
15, Pharmacy,,,,,,,,15
16, Medical Records & Medical Records Library,,,,,,,,16
17, Social Service,,,,,,,,17
, Other General Service (specify),,,,,,,,18
19, Nonphysician Anesthetists,,,,,,,,19
20, Nursing School,,,,,,,,20
21, Intern & Res. Service-Salary & Fringes (Approved),,,,,,,,21
22, Intern & Res. Other Program Costs (Approved),,,,,,,,22
23, Paramedical Ed. Program (specify) ,,,,,,,,23
,   INPATIENT ROUTINE SERVICE COST CENTERS, , , , , , , ,
30, Adults and Pediatrics (General Routine Care),,,,,,,,30
31, Intensive Care Unit,,,,,,,,31
32, Coronary Care Unit,,,,,,,,32
33, Burn Intensive Care Unit,,,,,,,,33
34, Surgical Intensive Care Unit,,,,,,,,34
, Other Special Care (specify),,,,,,,,35
40, Subprovider - IPF,,,,,,,,40
41, Subprovider - IRF,,,,,,,,41
42, Subprovider (specify),,,,,,,,42
43, Nursery,,,,,,,,43
44, Skilled Nursing Facility,,,,,,,,44
45, Nursing Facility,,,,,,,,45
46, Other Long Term Care,,,,,,,,46
,,,,,,RECLASSIFIED,,NET EXPENSES,
