"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G200000)","G200000[00000]","G200000[00100]","G200000[00200]","G200000[00300]"
"Line(00100)", ,"890490742", ,"890490742"
"Line(00200)", ,"31516632", ,"31516632"
"Line(01000)", ,"922007374", ,"922007374"
"Line(01100)", ,"48449471", ,"48449471"
"Line(01200)", ,"40448412", ,"40448412"
"Line(01300)", ,"15990538", ,"15990538"
"Line(01400)", ,"38496770", ,"38496770"
"Line(01500)", ,"158762946", ,"158762946"
"Line(01501)", ,"55440706", ,"55440706"
"Line(01600)", ,"357588843", ,"357588843"
"Line(01700)", ,"1279596217", ,"1279596217"
"Line(01800)", ,"2147483647","2147483647","2147483647"
"Line(01900)", , ,"538291992","538291992"
"Line(02701)", ,"54289221", ,"54289221"
"Line(02800)", ,"2147483647","2147483647","2147483647"
"Line(02900)", , ,"2147483647"
"Line(03100)","OTHER FUNDS ADJUSTMENT","1073000"
"Line(03200)","PROVISION FOR BAD DEBTS"
"Line(03500)","DIRECT RESEARCH"
"Line(03600)", , ,"1073000"
"Line(03800)","PHYSICIAN EXPENSES","14216000"
"Line(03900)","DIRECT RESEARCH"
"Line(04000)","OTHER/ROUNDING"
"Line(04200)", , ,"14216000"
