"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G200000)","G200000[00000]","G200000[00100]","G200000[00200]","G200000[00300]"
"Line(00100)", ,"357591982", ,"357591982"
"Line(01000)", ,"357591982", ,"357591982"
"Line(01100)", ,"47326230", ,"47326230"
"Line(01600)", ,"47326230", ,"47326230"
"Line(01700)", ,"404918212", ,"404918212"
"Line(01800)", ,"1560420343","2147483647","2147483647"
"Line(02800)", ,"1965338555","2147483647","2147483647"
"Line(02900)", , ,"2147483647"
"Line(03700)","LIMIT EXPENSE TO E&G AND PLANT FUNDS","606042191"
"Line(04200)", , ,"606042191"
