"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G300000)","G300000[00000]","G300000[00100]"
"Line(00100)", ,"2147483647"
"Line(00200)", ,"2147483647"
"Line(00300)", ,"2147483647"
"Line(00400)", ,"2147483647"
"Line(00500)", ,"16040155"
"Line(00700)", ,"97201378"
"Line(01900)", ,"787239"
"Line(02300)", ,"185393182"
"Line(02400)","OTHER OPERATING REVENUE","14446290"
"Line(02401)","VARIANCE BETWEEN W/S C AND E&G-EXHI","158305867"
"Line(02500)", ,"456133956"
"Line(02600)", ,"472174111"
"Line(02700)","OTHER NONOPERATING (REV) EXPENSE - E","192126"
"Line(02800)", ,"192126"
