"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G200000)","G200000[00000]","G200000[00100]","G200000[00200]","G200000[00300]"
"Line(00100)", ,"183719966", ,"183719966"
"Line(00200)", ,"9281378", ,"9281378"
"Line(00700)", ,"8976149", ,"8976149"
"Line(01000)", ,"201977493", ,"201977493"
"Line(01100)", ,"64249505", ,"64249505"
"Line(01101)", ,"50702393", ,"50702393"
"Line(01102)", ,"13008533", ,"13008533"
"Line(01600)", ,"127960431", ,"127960431"
"Line(01700)", ,"329937924", ,"329937924"
"Line(01800)", ,"898594285","1275799290","2147483647"
"Line(01900)", ,"93981002","530076108","624057110"
"Line(02200)", , ,"7912024","7912024"
"Line(02201)", , ,"3555140","3555140"
"Line(02600)", ,"1033732","451838","1485570"
"Line(02601)", ,"950621","7030901","7981522"
"Line(02700)","TRASNPLANT RELATED","7139783","2718655","9858438"
"Line(02701)","PHYSICIAN REVENUE", ,"891723822","891723822"
"Line(02702)","OTHER REVENUE","2437075","22222215","24659290"
"Line(02800)", ,"1334074422","2147483647","2147483647"
"Line(02900)", , ,"1129956235"
"Line(03000)","NON HOSPITAL BASED CLINICS","67701397"
"Line(03600)", , ,"67701397"
