"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (D30B190)", , ,"D30B190[00200]","D30B190[00300]"
"Line(04000)", , ,"1976375"
"Line(05000)", , ,"7001"
"Line(05100)", , ,"2021"
"Line(05300)", , ,"484"
"Line(05301)", , ,"58317"
"Line(06000)", , ,"251066"
"Line(06300)", , ,"261"
"Line(06500)", , ,"8715"
"Line(06600)", , ,"8089"
"Line(06700)", , ,"982"
"Line(06800)", , ,"1957"
"Line(06900)", , ,"30541"
"Line(07000)", , ,"7735"
"Line(07100)", , ,"3862"
"Line(07300)", , ,"246471"
"Line(07400)", , ,"13630"
"Line(07602)", , ,"3329"
"Line(09006)", , ,"1550"
"Line(09100)", , ,"142940"
