"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Report (G300000)","G300000[00000]","G300000[00100]"
"Line(00100)", ,"2147483647"
"Line(00200)", ,"2147483647"
"Line(00300)", ,"2084444873"
"Line(00400)", ,"2147483647"
"Line(00500)", ,"-121074162"
"Line(00600)", ,"4070116"
"Line(00700)", ,"1986698"
"Line(01200)", ,"17714610"
"Line(01400)", ,"13163609"
"Line(01700)", ,"48366471"
"Line(01800)", ,"1218766"
"Line(01900)", ,"4821106"
"Line(02000)", ,"18796"
"Line(02100)", ,"208802"
"Line(02200)", ,"24248655"
"Line(02300)", ,"16951287"
"Line(02400)","MISCELLANEOUS INCOME","61568313"
"Line(02500)", ,"194337229"
"Line(02600)", ,"73263067"
