"General Instruction: ","","Enter Y for all YES responses.  Enter N for all NO responses."
"","","Enter all dates in the mm/dd/yyyy format."
"Report (S200002)","S200002[00000]","S200002[00100]","S200002[00200]","S200002[00300]","S200002[00400]"
"Line(00100)", ,"N"
"Line(00200)", ,"N"
"Line(00300)", ,"Y"
"Line(00400)", ,"N"
"Line(00500)", ,"Y"
"Line(00600)", ,"Y","Y"
"Line(00700)", ,"Y"
"Line(00800)", ,"Y"
"Line(00900)", ,"Y"
"Line(01000)", ,"Y"
"Line(01100)", ,"Y"
"Line(01200)", ,"Y"
"Line(01300)", ,"N"
"Line(01400)", ,"N"
"Line(01500)", ,"Y"
"Line(01600)", ,"N", ,"N"
"Line(01700)", ,"Y","08/31/2014","Y","08/31/2014"
"Line(01800)", ,"N", ,"N"
"Line(01900)", ,"N", ,"N"
"Line(02000)","PS&R GROSSED UP","N", ,"Y"
